Name,Sub Name,Category,Rating,Reviews Count,City,Phone,Phone Valid,Email,Address,Website,URL,Kelurahan,Kecamatan,Kota/kabupaten,Provinsi
Solo Flower Bouquet,Solo Flower Bouquet,Florist,,,Surakarta City,0878-7986-0963,6287879860963,,Jl. Grogolan, RT.01/RW.04, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132,,https://www.google.com/maps/place/Solo+Flower+Bouquet/data=!4m7!3m6!1s0x2e7a170a216953d7:0xcbfad5bdd5f367a3!8m2!3d-7.5622188!4d110.8200455!16s%2Fg%2F11t5yrkrnp!19sChIJ11NpIQoXei4Ro2fz1b3V-ss?authuser=0&hl=en&rclk=1,Ketelan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57132
Rumah Bungaku,Rumah Bungaku,Florist,5.0,26,Surakarta City,0815-6714-739,628156714739,,Pasar kembang, Jl. Honggowongso, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141,,https://www.google.com/maps/place/Rumah+Bungaku/data=!4m7!3m6!1s0x2e7a167c60353afb:0xc5720ff2429231fb!8m2!3d-7.5723873!4d110.8164508!16s%2Fg%2F11b6z38lqm!19sChIJ-zo1YHwWei4R-zGSQvIPcsU?authuser=0&hl=en&rclk=1,Sriwedari,Kec. Laweyan,Surakarta City,Jawa Tengah 57141
Soloplantshop,Soloplantshop,Florist,5.0,1,Surakarta City,0821-3720-6149,6282137206149,,CRF4+XX2, Panularan, Laweyan, Surakarta City, Central Java 57149,,https://www.google.com/maps/place/Soloplantshop/data=!4m7!3m6!1s0x2e7a15a0724a2305:0xbdbe8fece49eb1d0!8m2!3d-7.5751143!4d110.8073842!16s%2Fg%2F11pc0_5kp8!19sChIJBSNKcqAVei4R0LGe5OyPvr0?authuser=0&hl=en&rclk=1,Panularan,Laweyan,Surakarta City,Central Java 57149
Taniya Kios Bunga Mangkunegaran Solo,Taniya Kios Bunga Mangkunegaran Solo,Florist,4.4,7,Surakarta City,0858-0128-6507,6285801286507,,Jl. R. M. Said No.33, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57714,,https://www.google.com/maps/place/Taniya+Kios+Bunga+Mangkunegaran+Solo/data=!4m7!3m6!1s0x2e7a17551fb89709:0xc3e37e7a0799886f!8m2!3d-7.5646804!4d110.8228825!16s%2Fg%2F11fp53p2__!19sChIJCZe4H1UXei4Rb4iZB3p-48M?authuser=0&hl=en&rclk=1,Ketelan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57714
Mogiistore Florist & Gift,Mogiistore Florist & Gift,Florist,4.8,8,Surakarta City,0821-3897-9371,6282138979371,,Jl. Kawung No.19, Sondakan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147,,https://www.google.com/maps/place/Mogiistore+Florist+%26+Gift/data=!4m7!3m6!1s0x2e7a1566010d1533:0xe4f6797d69404b88!8m2!3d-7.565001!4d110.791884!16s%2Fg%2F11nn2zscgf!19sChIJMxUNAWYVei4RiEtAaX159uQ?authuser=0&hl=en&rclk=1,Sondakan,Kec. Laweyan,Surakarta City,Jawa Tengah 57147
Kios Bunga Sari Asih,Kios Bunga Sari Asih,Florist,5.0,1,Surakarta City,0818-0448-8314,6281804488314,,Jl. R. M. Said No.11, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,,https://www.google.com/maps/place/Kios+Bunga+Sari+Asih/data=!4m7!3m6!1s0x2e7a168909335f1d:0x424fee7a8cc3b6ea!8m2!3d-7.5651047!4d110.8235871!16s%2Fg%2F11cst0hb31!19sChIJHV8zCYkWei4R6rbDjHruT0I?authuser=0&hl=en&rclk=1,Keprabon,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
TAMAN.WARNA,TAMAN.WARNA,Florist,5.0,2,Kota Surakarta,0822-4566-6234,6282245666234,,CRR8+Q7C, Jl. Hasanudin, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139,,https://www.google.com/maps/place/TAMAN.WARNA/data=!4m7!3m6!1s0x2e7a178acdedf783:0xf32cfb358400a7e6!8m2!3d-7.5580551!4d110.8156318!16s%2Fg%2F11qq2_s5dp!19sChIJg_ftzYoXei4R5qcAhDX7LPM?authuser=0&hl=en&rclk=1,Mangkubumen,Kec. Banjarsari,Kota Surakarta,Jawa Tengah 57139
Kios Bunga Nyah Gudir,Kios Bunga Nyah Gudir,Florist,,,Surakarta City,0852-2560-4149,6285225604149,,Jl. Kapten Piere Tendean No.83, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135,,https://www.google.com/maps/place/Kios+Bunga+Nyah+Gudir/data=!4m7!3m6!1s0x2e7a16bd5fab40f1:0xdc1e2745bd9ac2d0!8m2!3d-7.5475406!4d110.8208351!16s%2Fg%2F11b74v7_v1!19sChIJ8UCrX70Wei4R0MKavUUnHtw?authuser=0&hl=en&rclk=1,Nusukan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57135
Kios Bunga Erlangga,Kios Bunga Erlangga,Florist,4.6,7,Kota Surakarta,0813-9010-6574,6281390106574,,CRPF+45F, Jl. R. M. Said, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132,,https://www.google.com/maps/place/Kios+Bunga+Erlangga/data=!4m7!3m6!1s0x2e7a16891b81c519:0xa93d26909c702df4!8m2!3d-7.564696!4d110.8229138!16s%2Fg%2F11dxjxwrm9!19sChIJGcWBG4kWei4R9C1wnJAmPak?authuser=0&hl=en&rclk=1,Ketelan,Kec. Banjarsari,Kota Surakarta,Jawa Tengah 57132
Mebel SOLIKIN / DAFFA Furniture,Mebel SOLIKIN / DAFFA Furniture,Furniture store,4.6,5,Surakarta City,0857-2828-4545,6285728284545,,Jl. Cermai Bar. IV Jl. Bibis Kulon No.rt 02/18, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134,,https://www.google.com/maps/place/Mebel+SOLIKIN+%2F+DAFFA+Furniture/data=!4m7!3m6!1s0x2e7a17996da6b7ed:0xafce792f9338cfbf!8m2!3d-7.5556434!4d110.8328542!16s%2Fg%2F11gg_wvzy0!19sChIJ7bembZkXei4Rv884ky95zq8?authuser=0&hl=en&rclk=1,Gilingan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57134
Informa Solo Paragon,Informa Solo Paragon,Furniture store,4.8,1,405,Surakarta City,0857-2839-5650,6285728395650,,Mall Paragon Solo, Jl. Yosodipuro No.133, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139,informa.co.id,https://www.google.com/maps/place/Informa+Solo+Paragon/data=!4m7!3m6!1s0x2e7a17d30f11fc2b:0xf24c7d9d75ba8a60!8m2!3d-7.5627133!4d110.8099874!16s%2Fg%2F1pzrtp60d!19sChIJK_wRD9MXei4RYIq6dZ19TPI?authuser=0&hl=en&rclk=1,Mangkubumen,Kec. Banjarsari,Surakarta City,Jawa Tengah 57139
Mebel Darto,Mebel Darto,Furniture store,4.8,8,Surakarta City,0812-2584-932,628122584932,,Jl. Walanda Maramis, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135,,https://www.google.com/maps/place/Mebel+Darto/data=!4m7!3m6!1s0x2e7a16ed03393fcb:0xb855c11943e897a0!8m2!3d-7.5549947!4d110.8338091!16s%2Fg%2F11h_82q60m!19sChIJyz85A-0Wei4RoJfoQxnBVbg?authuser=0&hl=en&rclk=1,Nusukan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57135
Naenamu Furniture Solo,Naenamu Furniture Solo,Furniture store,5.0,8,Surakarta City,0858-7979-3200,6285879793200,,Jl. Jaya Wijaya No.201, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136,naenamu.com,https://www.google.com/maps/place/Naenamu+Furniture+Solo/data=!4m7!3m6!1s0x2e7a17f73cbd814b:0x8aea6ec1ee90cfce!8m2!3d-7.5330852!4d110.8308086!16s%2Fg%2F11qz4lfmcf!19sChIJS4G9PPcXei4Rzs-Q7sFu6oo?authuser=0&hl=en&rclk=1,Kadipiro,Kec. Banjarsari,Surakarta City,Jawa Tengah 57136
MEBEL TITIK CERAH,MEBEL TITIK CERAH,Furniture store,5.0,1,Surakarta City,0855-4903-4348,6285549034348,,Jl. Raya Solo No.44-40, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134,,https://www.google.com/maps/place/MEBEL+TITIK+CERAH/data=!4m7!3m6!1s0x2e7a171870a4a4ef:0x34b098c62cb2d19e!8m2!3d-7.556462!4d110.8325994!16s%2Fg%2F11trwpf3ct!19sChIJ76SkcBgXei4RntGyLMaYsDQ?authuser=0&hl=en&rclk=1,Gilingan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57134
Putut Mebel Solo,Putut Mebel Solo,Furniture store,2.4,5,Surakarta City,0857-1312-5001,6285713125001,,CRR5+9F7, Mangkubumen, Banjarsari, Surakarta City, Central Java 57139,,https://www.google.com/maps/place/Putut+Mebel+Solo/data=!4m7!3m6!1s0x2e7a1736d33f77df:0xe6f0db8978fe3d64!8m2!3d-7.559095!4d110.8086704!16s%2Fg%2F11h1g5z6d7!19sChIJ33c_0zYXei4RZD3-eInb8OY?authuser=0&hl=en&rclk=1,Mangkubumen,Banjarsari,Surakarta City,Central Java 57139
DR Furniture & Interior | Jasa Interior Solo, Semarang, Jogja, Jawa Tengah Terbaik,DR Furniture & Interior | Jasa Interior Solo, Semarang, Jogja, Jawa Tengah Terbaik,Interior construction contractor,5.0,11,Surakarta City,0878-3602-8489,6287836028489,,Jl. Dr. Rajiman No.341, Panularan, Laweyan, Surakarta City, Central Java 57146,business.site,###############################################################################################################################################################################################################################################################,Panularan,Laweyan,Surakarta City,Central Java 57146
Thumb Furniture Store,Thumb Furniture Store,Furniture store,4.4,82,Surakarta City,0878-3542-1974,6287835421974,,Jl. Joko Tingkir No.5, Pajang, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57146,,https://www.google.com/maps/place/Thumb+Furniture+Store/data=!4m7!3m6!1s0x2e7a143558072a45:0x16e2e1959490520c!8m2!3d-7.5687135!4d110.7838224!16s%2Fg%2F11csqcxdr1!19sChIJRSoHWDUUei4RDFKQlJXh4hY?authuser=0&hl=en&rclk=1,Pajang,Kec. Laweyan,Surakarta City,Jawa Tengah 57146
griyasari artliving,griyasari artliving,Shed builder,4.7,7,Surakarta City,0812-1766-6090,6281217666090,,Jl. Seram No.2/48, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,griyasarisolo.business.site,https://www.google.com/maps/place/griyasari+artliving/data=!4m7!3m6!1s0x2e7a16627fa12159:0xc9435f45d46f816!8m2!3d-7.5686959!4d110.8228201!16s%2Fg%2F11cjhl1lg1!19sChIJWSGhf2IWei4RFvhGXfQ1lAw?authuser=0&hl=en&rclk=1,Keprabon,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
Inoky sangkar,Inoky sangkar,Furniture store,5.0,1,Kota Surakarta,0813-9371-7322,6281393717322,,CRH4+273, Jl. Srinarendro IV, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149,,https://www.google.com/maps/place/Inoky+sangkar/data=!4m7!3m6!1s0x2e7a15c58e216725:0x9a0ec0569c8de3ed!8m2!3d-7.57249!4d110.8056828!16s%2Fg%2F11sx038p6j!19sChIJJWchjsUVei4R7eONnFbADpo?authuser=0&hl=en&rclk=1,Panularan,Kec. Laweyan,Kota Surakarta,Jawa Tengah 57149
Mebel Bu Arris,Mebel Bu Arris,Furniture store,5.0,6,Surakarta City,0857-0008-8301,6285700088301,,Setabelan, Banjarsari, Surakarta City, Central Java 57133,,https://www.google.com/maps/place/Mebel+Bu+Arris/data=!4m7!3m6!1s0x2e7a17fc8572e973:0x51753890b8e84662!8m2!3d-7.5604295!4d110.8280514!16s%2Fg%2F11fmdbtm65!19sChIJc-lyhfwXei4RYkbouJA4dVE?authuser=0&hl=en&rclk=1,Setabelan,Banjarsari,Surakarta City,Central Java 57133
Mebel Jempol,Mebel Jempol,Furniture store,4.0,7,Surakarta City,0895-3104-9018,6289531049018,,Jl. Sugiyopranoto No.15, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,,https://www.google.com/maps/place/Mebel+Jempol/data=!4m7!3m6!1s0x2e7a1689d0000001:0xdaebeceaf3fa455c!8m2!3d-7.5676016!4d110.8263529!16s%2Fg%2F1pzy7hkgm!19sChIJAQAA0IkWei4RXEX68-rs69o?authuser=0&hl=en&rclk=1,Keprabon,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
MEBEL RAEKY 2,MEBEL RAEKY 2,Furniture accessories supplier,5.0,3,Surakarta City,0878-3452-9750,6287834529750,,Jl. Walanda Maramis, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah,,https://www.google.com/maps/place/MEBEL+RAEKY+2/data=!4m7!3m6!1s0x2e7a176de168eac7:0x374d220e6e8cc290!8m2!3d-7.5554659!4d110.8335245!16s%2Fg%2F11t491hmg_!19sChIJx-po4W0Xei4RkMKMbg4iTTc?authuser=0&hl=en&rclk=1,Gilingan,Kec. Banjarsari,Surakarta City,Jawa Tengah
UD. Ndaru,UD. Ndaru,Used furniture store,,,Surakarta City,0812-2600-980,628122600980,,Triwindu Antique Market, Jl. Diponegoro, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,,https://www.google.com/maps/place/UD.+Ndaru/data=!4m7!3m6!1s0x2e7a166261c7d52f:0xf6bdcc399658cc29!8m2!3d-7.569182!4d110.822591!16s%2Fg%2F11b6v7wdbp!19sChIJL9XHYWIWei4RKcxYljnMvfY?authuser=0&hl=en&rclk=1,Keprabon,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
Toko Jempol Baru,Toko Jempol Baru,Furniture store,4.5,1,299,Surakarta City,0857-7122-2888,6285771222888,,Jl. R. M. Said No.4, RW.6, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,,https://www.google.com/maps/place/Toko+Jempol+Baru/data=!4m7!3m6!1s0x2e7a16899fa285c5:0x6a9c460936ddb80c!8m2!3d-7.565694!4d110.8243037!16s%2Fg%2F11b700xmm7!19sChIJxYWin4kWei4RDLjdNglGnGo?authuser=0&hl=en&rclk=1,Keprabon,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
Yanto Mebel Interior,Yanto Mebel Interior,Furniture store,,,Surakarta City,0812-2982-962,628122982962,,Jl. Prof. DR. Supomo No.14, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,,https://www.google.com/maps/place/Yanto+Mebel+Interior/data=!4m7!3m6!1s0x2e7a1686db313a83:0x9a4763deefa4735d!8m2!3d-7.5654385!4d110.8145449!16s%2Fg%2F11b74nr63w!19sChIJgzox24YWei4RXXOk795jR5o?authuser=0&hl=en&rclk=1,Timuran,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
Gas Lintang,Gas Lintang,Gas station,2.0,1,Plesungan,0851-0337-0084,6285103370084,,Jl. Margorejo V S254 Perum Samirukun, Plesungan, Banjarsari, Surakarta City, Central Java 57134,,https://www.google.com/maps/place/Gas+Lintang/data=!4m7!3m6!1s0x2e7a173782eda8cb:0x624d3b2e8713c6e2!8m2!3d-7.5564453!4d110.8245468!16s%2Fg%2F11jbqj66n3!19sChIJy6jtgjcXei4R4sYThy47TWI?authuser=0&hl=en&rclk=1,Plesungan,Banjarsari,Plesungan,Central Java 57134
KONTER YOS CELL 1 DAN PERTAMINI,KONTER YOS CELL 1 DAN PERTAMINI,Gas station,5.0,3,Surakarta City,0895-4226-15792,62895422615792,,Jl. Sugiyopranoto No.H-26, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131,business.site,https://www.google.com/maps/place/KONTER+YOS+CELL+1+DAN+PERTAMINI/data=!4m7!3m6!1s0x2e7a17f7013d0673:0x443b173786c7b483!8m2!3d-7.5671065!4d110.8246285!16s%2Fg%2F11h6lq8nvz!19sChIJcwY9AfcXei4Rg7THhjcXO0Q?authuser=0&hl=en&rclk=1,Keprabon,Kec. Banjarsari,Surakarta City,Jawa Tengah 57131
